CLIENTE,SUBCARPETA,NO. PARTE,CODIGO,NOMBRE,LIGA,RMS,,,
NISSAN,H60A,550206KH0C,PRODUCCION_OP-PREVIAS_H-55020-6KH0C,HOJA DE ESPECIFICACION OPERACIONES PREVIAS,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=06262025_085131.852_PRODUCCION_OP-PREVIAS_H-55020-6KH0C_(Mod._24_06_2025).PDF&pr02=application/pdf&pr03=7994,VERDADERO,,,
NISSAN,H60A,550206KH0D,PRODUCCION_OP-PREVIAS_H-55020-6KH0D,HOJA DE ESPECIFICACION OPERACIONES PREVIAS,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=06262025_085425.666_PRODUCCION_OP-PREVIAS_H-55020-6KH0D_(Mod._24_06_2025).PDF&pr02=application/pdf&pr03=7996,VERDADERO,,,
NISSAN,H60A,550206KH1C,PRODUCCION_OP-PREVIAS_H-55020-6KH1C,HOJA DE ESPECIFICACION OPERACIONES PREVIAS,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=06262025_085708.698_PRODUCCION_OP-PREVIAS_H-55020-6KH1C_(Mod._24_06_2025).PDF&pr02=application/pdf&pr03=7998,VERDADERO,,,
NISSAN,H60A,550206KH3C,PRODUCCION_OP-PREVIAS_H-55020-6KH3C,HOJA DE ESPECIFICACION OPERACIONES PREVIAS,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=06262025_085856.355_PRODUCCION_OP-PREVIAS_H-55020-6KH3C_(Mod._24_06_2025).PDF&pr02=application/pdf&pr03=8000,VERDADERO,,,
NISSAN,H60A,550206KH0C,OP-FINALES_H-55020-6KH0C,HOJA DE ESPECIFICACION OPERACIONES FINALES,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_121148.017_OP-FINALES_H-55020-6KH0C.pdf&pr02=application/pdf&pr03=7525,VERDADERO,,,
NISSAN,H60A,550206KH0D,OP-FINALES_H-55020-6KH0D,HOJA DE ESPECIFICACION OPERACIONES FINALES,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_121242.486_OP-FINALES_H-55020-6KH0D.pdf&pr02=application/pdf&pr03=7526,VERDADERO,,,
NISSAN,H60A,550206KH1C,OP-FINALES_H-55020-6KH1C,HOJA DE ESPECIFICACION OPERACIONES FINALES,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_121416.924_OP-FINALES_H-55020-6KH1C.pdf&pr02=application/pdf&pr03=7527,VERDADERO,,,
NISSAN,H60A,550206KH3C,OP-FINALES_H-55020-6KH3C,HOJA DE ESPECIFICACION OPERACIONES FINALES,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_121507.489_OP-FINALES_H-55020-6KH3C.pdf&pr02=application/pdf&pr03=7528,VERDADERO,,,
NISSAN,H60A,550205JJ0C,OP-PREVIAS_H-55020-5JJ0C,HOJA DE ESPECIFICACION OPERACIONES PREVIAS,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=11062025_101846.409_OP-PREVIAS_H-55020-5JJ0C.PDF&pr02=application/pdf&pr03=8508,VERDADERO,,,
NISSAN,H60A,550205JJ1C,OP-PREVIAS_H-55020-5JJ1C,HOJA DE ESPECIFICACION OPERACIONES PREVIAS,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=11062025_102152.112_OP-PREVIAS_H-55020-5JJ1C.PDF&pr02=application/pdf&pr03=8509,VERDADERO,,,
